target,mln_Mn__vs__mln_Mp,mln_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__sp_Ame,mln_Mn__vs__sp_Mn,mln_Mn__vs__sp_Mp,mln_Mp__vs__pre_inj,mln_Mp__vs__si_Mp,mln_Mp__vs__sp_Ame,mln_Mp__vs__sp_Mn,mln_Mp__vs__sp_Mp,pre_inj__vs__si_Mp,pre_inj__vs__sp_Ame,si_Mn__vs__mln_Mn,si_Mn__vs__mln_Mp,si_Mn__vs__pre_inj,si_Mn__vs__si_Mp,si_Mn__vs__sp_Ame,si_Mn__vs__sp_Mn,si_Mn__vs__sp_Mp,si_Mp__vs__sp_Ame,sp_Mn__vs__pre_inj,sp_Mn__vs__si_Mp,sp_Mn__vs__sp_Ame,sp_Mp__vs__pre_inj,sp_Mp__vs__si_Mp,sp_Mp__vs__sp_Ame,sp_Mp__vs__sp_Mn
Ahr,-0.09872411707213265,-0.483186070911966,0.3589648845852303,-0.7817369339046306,-0.8420264782174309,-0.7010982666992525,-0.4092116846796905,0.46505481736070653,-0.6449638469498453,-0.6631501525359474,-0.6506124898959077,0.6799135703449738,-0.19172066404036697,-0.41797150557416546,-0.472148069450066,-0.7250451837251937,-0.029555493565913665,-0.9343798996858887,-0.9692703873689459,-0.8939274050691532,-0.8932201509466324,0.2261538002151176,0.919372460484922,0.08674175253002785,0.13582981527330776,0.9759079014389433,-0.05814358853623094,-0.13338872424451045
Nr1h3,-0.3560313655827002,-0.21333152289433585,-0.3926940791967742,-0.2502310837084101,-1.0639399328485066,-0.6703664464341057,0.059779124522153795,-0.16375761358874377,0.0673743349112468,-0.6595581011682664,-0.3803147132807814,-0.17490904783290734,0.0016860720389497335,0.5541017042755857,0.28003050470942686,0.2878907049723815,0.1279125788623092,0.31179663498161686,-0.2927284822200827,-0.011975365299920285,0.19272428088019564,0.6441294450866216,0.39478126695531396,0.8165011680933497,0.382914589783551,0.14287347846341356,0.5158655424941989,-0.38112430740346176
Nr1i2,0.41091934365840727,-0.1149891881471775,-0.5112097683690983,0.6042284940746049,0.3551326087382324,0.31738735076684965,-0.4312715662181643,-0.8603788757412393,0.21768374640083366,-0.0038802485741924243,-0.04120570675605962,-0.35732823564584676,0.6797540498603415,0.4932041234535489,0.7660726635683891,0.3164475930642456,-0.06401747973162848,0.8735899621285333,0.6814916027395548,0.6750290201982445,0.9096496715432197,-0.3812829885869576,-0.7134836787880676,0.22837687162027576,-0.39996932836848265,-0.8168652827092593,0.3143450603718529,0.034134029678612544
Ncoa3,1.726691431062501,0.9183744997803783,1.9468218637725745,0.0031204336741419677,-0.14227773629138188,0.478325633965594,-0.41655284575419854,0.8371050275808505,-1.4550007478496279,-1.4710084135994639,-1.095770497338799,0.9691897823043744,-0.9935764977590628,-1.564513057635361,-0.26068321910658404,-0.5559258989231368,0.5484504975839457,-1.385801058850795,-1.455440358571225,-1.0294441955207982,-1.8317038982999647,0.9319997002114483,1.8755764682506333,0.14408990674256644,0.5051389398053286,1.6917494701952909,-0.5698527526543476,-0.6124536633293487
Nr2f6,1.0137681857950682,1.3948150505245387,1.9480060390031804,1.9286918763202465,1.1551775070339647,-0.2127787310288171,0.5938834525495346,1.3462214493423847,0.9679994060252815,0.23203721917599063,-1.1749989665423946,0.618131624542657,0.3004113890408756,0.3661615314505455,1.0843022041796728,1.401117374340909,2.4057902161117224,1.7482008120810402,1.1640450736746648,0.16313262536394818,-0.43541193343918067,0.32658054381854407,0.9293010562913946,0.7322893943732537,1.587835099055875,2.237777487020128,2.490836567918549,1.3425114687756121
Hnf4a,0.02227142588353236,-0.7238366225331349,-1.4330469330798803,-1.3953398403493933,0.5018207209840456,-1.1310988422413986,-0.7440569551974079,-1.5870601841693481,-1.3113779637934955,0.42454881525600346,-1.202226550600404,-0.6897779278646482,-0.489814763444936,0.0013930108782635104,0.017098823064137715,-0.5689399374967247,-1.5339007444230195,-0.9892040498199751,0.3595822345518922,-0.8357433692732756,0.3718990706379965,-1.0303488277567623,-1.6335656331042205,-1.8167028976430681,0.27466263113473627,-0.5924081470864061,-0.24423335494272305,1.58039786383519
Nr5a2,0.9884188489257983,0.908408388111503,0.4657117066957359,0.045861625580544886,0.7780536160988345,0.4130861664419274,0.15594089740617492,-0.22331835410095355,-0.7908435710558909,-0.07517136813496259,-0.4706188213363413,-0.29368417037083905,-0.9437108182434262,-1.8119182287773385,-1.047714793428368,-0.7670008593902704,-1.2982999922507594,-1.57251324225657,-0.9980951334004966,-1.2951777072470025,-0.40616222221662907,0.20645587424569642,-0.12545084905381046,-0.728329306372945,0.5517050050722528,0.15307857770153624,-0.44138281243874433,0.3552932970985832
Esr1,2.0220680451352395,-0.8219479600637659,0.6387592791618575,0.1928432398805063,-0.5589011118443232,0.4010050110738477,-2.3784090437932535,-0.8007642901503188,-1.524633395449557,-2.0453924099191476,-1.4345477531205266,1.1785042855302656,1.0657817366352507,0.5369983326711132,1.945068969957313,-0.20690569742020148,1.1979084511368991,0.6143828122846167,0.05811046877494182,0.7745513477008713,-0.46675225514252494,-0.2976556475164791,0.9723532672037217,0.7387569980719005,-1.1887110271199919,0.34961804088394055,-0.2578589088904684,-0.944393090897245
Nr3c1,0.44206551376161407,-0.06627876409761611,0.028149832656247153,-0.5820103376289105,-0.7517083594891767,-0.3346968923107356,-0.4047739206866485,-0.29711737510168595,-0.9150503029351739,-0.998995385638318,-0.7596605354820616,0.07488594260566322,-0.46206500855579835,0.2251596590820429,0.5294686502546654,0.13242222399150091,0.25157782182486044,-0.22023273200327276,-0.35185471238852345,-0.05180135566313888,-0.4384799762536559,0.5309266999389122,0.5568039805395402,0.1882074456635841,0.23141351467959406,0.311164421260052,-0.2684838114859488,-0.40728667473685226
Ppara,0.7508352559132347,1.0726525138284984,-0.019266617133297814,0.7311681092048582,-0.0721375216285184,1.1535855949402727,0.4983447346682354,-0.5791646999127116,0.04683300239802864,-0.6404195773708186,0.5300330691851168,-0.8380450216337815,-0.4918781760941119,-0.13391692102984937,0.40345646067480184,0.7375633737295539,-0.1525403712714842,0.4075784155114316,-0.16734703475839888,0.7447791651610439,0.5347580236894004,1.0164573317630523,0.033198105356237226,0.773459000892043,0.05516649468619486,-0.9886933911134788,-0.5420528835844152,-1.2102958318321924
