target,sp_Mn__vs__mln_Mn,sp_Mn__vs__si_Mp,sp_Mn__vs__mln_Mp,sp_Mn__vs__si_Mn,sp_Mn__vs__sp_Mp,sp_Mn__vs__sp_Ame,sp_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__mln_Mp,mln_Mn__vs__si_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Ame,mln_Mn__vs__pre_inj,si_Mp__vs__mln_Mp,si_Mp__vs__si_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__sp_Ame,si_Mp__vs__pre_inj,mln_Mp__vs__si_Mn,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Ame,mln_Mp__vs__pre_inj,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Ame,si_Mn__vs__pre_inj,sp_Mp__vs__sp_Ame,sp_Mp__vs__pre_inj,sp_Ame__vs__pre_inj
Abcb1a,0.16822725650705195,16.52023349117104,13.248142219167221,1.9781914570388324,13.328473199074885,2.8071051094783144,1.827262659258345,16.35200623466399,13.079914962660169,1.8099642005317804,13.160245942567833,2.6388778529712624,1.659035402751293,-3.27209127200382,-14.542042034132209,-3.1917602920961556,-13.713128381692727,-14.692970831912696,-11.269950762128389,0.08033097990766436,-10.441037109688907,-11.420879559908876,11.350281742036053,0.828913652439482,-0.1509287977804874,-10.52136808959657,-11.50121053981654,-0.9798424502199694
Abcb1b,1.5691813250358848,10.677820161756031,6.377670199018965,2.690295801112349,1.1269815416007702,0.4259827880441378,1.0303985365815294,9.108638836720147,4.80848887398308,1.121114476076464,-0.44219978343511457,-1.143198536991747,-0.5387827884543555,-4.300149962737066,-7.9875243606436825,-9.550838620155261,-10.251837373711894,-9.647421625174502,-3.6873743979066163,-5.250688657418195,-5.951687410974827,-5.347271662437436,-1.5633142595115785,-2.264313013068211,-1.6598972645308194,-0.7009987535566324,-0.09658300501924089,0.6044157485373916
Ahr,3.527389776801679,9.48520601902023,1.871951109427125,7.319884799905111,-0.7213385745141446,-1.2606793919590018,-3.225140652476734,5.957816242218551,-1.655438667374554,3.7924950231034322,-4.248728351315823,-4.788069168760681,-6.752530429278413,-7.613254909593105,-2.165321219115119,-10.206544593534375,-10.745885410979232,-12.710346671496964,5.447933690477986,-2.59328968394127,-3.1326305013861266,-5.097091761903859,-8.041223374419255,-8.580564191864113,-10.545025452381845,-0.5393408174448572,-2.5038020779625896,-1.9644612605177325
Ar,-1.0914958724421002,1.7832487342817227,-3.9763142442083534,4.869700529976505,-0.8345598537413063,-3.6284560862502055,-8.254660455053477,2.874744606723823,-2.884818371766253,5.961196402418605,0.256936018700794,-2.5369602138081055,-7.163164582611377,-5.759562978490076,3.086451795694783,-2.617808588023029,-5.411704820531928,-10.0379091893352,8.846014774184859,3.1417543904670473,0.34785815795814773,-4.2783462108451245,-5.704260383717812,-8.49815661622671,-13.124360985029982,-2.7938962325088994,-7.420100601312171,-4.626204368803272
Blimp,1.3571055593964303,4.209238316578919,0.6433009237468355,1.250409004714669,-0.8419755523575674,-1.547378617807297,2.6750461280374935,2.8521327571824884,-0.7138046356495948,-0.10669655468176131,-2.1990811117539977,-2.9044841772037273,1.3179405686410632,-3.565937392832083,-2.9588293118642497,-5.051213868936486,-5.756616934386216,-1.5341921885414251,0.6071080809678335,-1.4852764761044028,-2.1906795415541325,2.031745204290658,-2.0923845570722364,-2.797787622521966,1.4246371233228246,-0.7054030654497296,3.517021680395061,4.2224247458447906
Cd19,1.756993755125663,5.944772598243968,-0.03241360213425537,6.288327968406406,-1.0416878126040956,-0.6172551996428931,1.2073510320612826,4.187778843118305,-1.7894073572599183,4.5313342132807435,-2.7986815677297585,-2.374248954768556,-0.5496427230643803,-5.977186200378223,0.34355537016243903,-6.986460410848063,-6.56202779788686,-4.737421566182685,6.320741570540662,-1.0092742104698402,-0.5848415975086377,1.239764634195538,-7.330015781010502,-6.9055831680493,-5.080976936345124,0.42443261296120244,2.249038844665378,1.8246062317041758
Cd8a,0.804605218787124,9.076833761044732,1.1891938553715136,8.937668661766075,-0.42633125871250854,0.11798210267982512,-0.40525261472723173,8.272228542257608,0.3845886365843896,8.133063442978951,-1.2309364774996325,-0.6866231161072989,-1.2098578335143557,-7.887639905673218,-0.1391650992786566,-9.50316501975724,-8.958851658364907,-9.482086375771964,7.748474806394562,-1.615525114084022,-1.0712117526916884,-1.5944464700987453,-9.363999920478584,-8.81968655908625,-9.342921276493307,0.5443133613923337,0.021078643985276813,-0.5232347174070568
Creb,1.738417474261567,4.92169740267115,-0.03945103985485332,3.3643371735247953,-1.1155104748295486,-1.0535175830416534,-5.298540826587313,3.1832799284095827,-1.7778685141164203,1.6259196992632283,-2.8539279490911156,-2.7919350573032204,-7.03695830084888,-4.961148442526003,-1.5573602291463544,-6.037207877500698,-5.975214985712803,-10.220238229258463,3.4037882133796487,-1.0760594349746953,-1.0140665431868001,-5.25908978673246,-4.479847648354344,-4.417854756566449,-8.662878000112109,0.06199289178789513,-4.183030351757765,-4.24502324354566
Dmrta1,3.9529228597070327,7.170568769375498,1.9892009538277506,2.3662177408603156,0.5628469895588694,1.1674776774162041,2.135730365637815,3.217645909668465,-1.9637219058792823,-1.5867051188467172,-3.3900758701481637,-2.785445182290829,-1.817192494069218,-5.181367815547747,-4.804351028515183,-6.607721779816629,-6.003091091959294,-5.034838403737683,0.377016787032565,-1.4263539642688812,-0.8217232764115465,0.1465294118100644,-1.8033707513014463,-1.1987400634441117,-0.23048737522250065,0.6046306878573346,1.5728833760789456,0.9682526882216109
Eomes,-0.4818629670001485,1.8787440859370463,0.10423600198742236,2.054307163671956,-1.6767500825754014,-1.3804532924199093,-0.7908548910205468,2.360607052937195,0.5860989689875709,2.5361701306721045,-1.1948871155752527,-0.8985903254197609,-0.3089919240203983,-1.774508083949624,0.1755630777349097,-3.5554941685124475,-3.259197378356956,-2.669598976957593,1.9500711616845336,-1.7809860845628236,-1.4846892944073318,-0.8950908930079692,-3.7310572462473575,-3.4347604560918654,-2.8451620546925027,0.2962967901554919,0.8858951915548545,0.5895984013993626
Esr1,2.4673573378496108,9.779664272796332,7.735415351703341,2.0225337154068086,2.3619298713172725,1.1935665258196337,-5.722699271470295,7.312306934946721,5.26805801385373,-0.444823622442802,-0.1054274665323381,-1.2737908120299768,-8.190056609319905,-2.0442489210929913,-7.757130557389523,-7.417734401479059,-8.586097746976698,-15.502363544266627,-5.712881636296532,-5.373485480386068,-6.541848825883707,-13.458114623173635,0.3393961559104639,-0.8289671895871749,-7.745232986877103,-1.1683633454976388,-8.084629142787568,-6.916265797289928
Esr2,-0.8982799692488564,0.211693381509536,-4.733936582836613,4.4280366933646675,-6.8565699491436165,-2.5792957052568255,-5.903954854181386,1.1099733507583924,-3.8356566135877563,5.326316662613524,-5.958289979894761,-1.681015736007969,-5.005674884932529,-4.945629964346149,4.216343311855131,-7.068263330653153,-2.7909890867663614,-6.115648235690922,9.16197327620128,-2.1226333663070043,2.154640877579787,-1.170018271344773,-11.284606642508285,-7.007332398621493,-10.331991547546053,4.277274243886791,0.9526150949622311,-3.3246591489245603
