,sp_Mn,mln_Mn,si_Mp,mln_Mp,si_Mn,sp_Mp,sp_Ame,pre_inj
Ncoa1-4,81.4915422726598,81.33156637474013,77.02125619971886,84.94187171912908,80.14164226668831,85.10624768316484,84.9346222431327,90.15809813271468
Ncoa1-5,78.06520491836743,74.36461260274795,81.57754037924381,80.64079212955157,81.46090135246403,80.7192318315678,79.62613878871151,76.29426866619575
Ncoa2-1,70.19545428339947,61.985191960399966,63.610226746403995,64.14027087136009,61.66970184895148,60.684095379852785,69.70717543130469,69.93909548739855
Ncoa2-2,71.32904806083509,72.02629556011328,57.02858522664304,60.684095379852785,63.72061798035337,71.17612131115533,67.17310222019647,79.68103959650283
Ncoa2-3,70.0601659740107,73.8608894709267,62.763901630166345,76.98424736520359,59.32518675838501,75.41331181352368,71.77770702370032,79.8228695053282
Ncoa2-4,78.58054955232664,77.71785941585303,60.16255056281098,73.94932315591893,73.11160595437033,75.03754287776388,72.45999549980363,75.28830719048113
Ncoa2-5,90.8476084509472,89.84759560250185,99.87167599988645,92.14232437066964,97.52607098360906,92.0261832417296,92.40444143344277,87.27036974444134
Ncoa2-6,73.68914881144397,62.957267046114275,54.93046024010364,71.97741953515713,59.32518675838501,67.74447267672704,65.88572515269571,71.2322003735662
Ncoa3-1,81.45834105692664,78.43169541732692,73.8430436868321,78.23608274347662,76.72975671185647,81.96451111771526,83.20760827854878,75.35807444620359
Ncoa3-2,73.7530013075838,70.36017705096486,63.6657141645594,73.8430436868321,67.37021726695261,71.35642352240468,71.96513620737205,69.48434150135887
Ncoa3-3,75.02289236952274,74.41353237430526,72.2060172771103,79.3187376457549,72.85322513438709,76.16821194538713,74.7758457544453,80.27957424581726
Ncoa3-4,71.07665284701308,72.9162784794368,43.57963889333246,52.28149440976294,54.584823011003316,73.76206725528638,77.86192779470727,85.97987309689434
Ncoa3-5,93.97460939017895,95.19261715689031,80.16379337966131,91.88450874717346,82.99987127093972,89.14783152356046,93.30859679607651,88.37539032571537
Ncoa4-1,78.60501147582104,79.40150820717943,71.59714797465634,78.51896499975535,74.95651890469178,78.68986906407677,77.56549629725839,83.9744803956504
Ncoa4-2,90.08024898278914,89.11688855492868,80.60560734711993,89.47248513708875,83.4029351974232,88.18773986148388,88.48236067134444,91.38803157147865
Ncoa4-3,88.22262676271646,85.7310531871073,78.11388551233772,87.32488087624863,85.29091723323268,85.7791356260631,85.0052940945053,90.1505393800757
Ncoa4-4,81.12693015863661,80.50182383055025,74.97872506180309,84.8967838892002,77.01598296959112,85.18747859601473,83.38985613203931,83.19024119290039
Ncoa4-5,72.78948846229531,68.2858041570973,66.599324082642,63.72061798035337,56.58649120055431,70.3276101410314,75.61605522773837,79.39793252829355
Ncoa5-1,78.02061168513221,71.96513620737205,72.06268552216277,73.74392148837832,74.07955552239765,76.16821194538713,78.30910300411603,74.14786484644014
Ncoa5-2,78.0918058986105,76.9948442825626,71.71386402940301,81.02338292881299,74.4216468398895,84.96934053400307,82.89533099943412,89.68114051186681
Ncoa5-3,78.79727734600453,78.54367298986098,74.89689744371972,80.32897629081714,75.39265714063299,80.52867822276973,82.642841481648,85.99326092807361
Ncoa6-2,88.46890221867861,84.83810383419433,86.27576348227713,86.11360356361124,88.60592106688242,89.31563825066772,88.45620585960022,85.96401212923128
Ncoa6-3,96.53519639067827,99.08674925354013,99.99760958529505,99.86587177674011,99.99535491577998,98.1693263143523,98.14108185186606,94.08689204393819
Ncoa7-1,67.66638314740217,70.37639122416054,69.44633484278472,68.51546924169541,63.14365274672634,65.06302702854852,72.13479136349976,75.73450820592666
Ncoa7-2,97.14948283733077,96.66235948731122,94.71137530160097,98.89712142919038,96.64713958748197,97.55782254903647,97.63684909513677,94.99175347161626
Ncoa7-3,75.5155359788039,75.81863485094497,74.5021908676061,77.19276139477522,76.0580352576839,78.58871435765747,75.96466406251011,80.8023856977607
Non-targeting-negative-control-#2-(RFP)-1,86.74353313131925,78.12269513243359,81.5220316905128,86.19758821561261,81.01238143092719,81.75090562340199,86.74674395801237,87.84603453327739
Non-targeting-negative-control-#4-(EGFP_881)-1,83.96086786284425,76.95767412387606,81.95034122537136,79.6639355809291,81.95979144086517,84.5621294371663,83.98975822625152,78.12269513243359
Non-targeting-negative-control-#5-(EGFP_1212)-2,93.57068971640015,91.31213794070737,88.4402948873984,91.91449372579235,87.21336568914646,92.04812904560497,92.25299231186482,89.3013383938299
Nr0b1-1,79.14978120488371,81.14312200656774,76.40026951811464,85.76020199742551,76.0703765968935,79.60888148114583,80.89285951930606,73.12170917920892
Nr0b1-2,79.55333100256834,79.08990933783056,76.60122812379943,81.27378832535666,77.56549629725839,78.17965108178244,79.16094261299098,80.32282262962734
Nr0b1-3,62.209593376856354,66.72522769448666,43.57963889333246,50.854673217499844,43.57963889333246,58.6246979355269,66.81778447820848,72.85322513438709
Nr0b1-4,66.37173375419593,59.579372412248496,51.62760541609119,61.75043290905688,66.0290976512502,60.05131119187027,60.377791241554604,70.7371854945908
Nr0b2-1,79.63647001943423,72.87431809387867,71.71386402940301,73.44577139661904,80.35659205016802,78.26625527140277,76.90954809082349,80.95707773460094
Nr0b2-2,82.12286547064224,85.0324760758839,74.42975029374212,91.16394197047384,76.05185513830696,83.78634287635653,89.1611394414417,86.15870112115836
Nr0b2-3,77.89399527498584,76.02085951451183,56.58649120055431,74.25722357546783,67.99709237221188,68.6707961341751,69.68893688820019,81.6375307350998
Nr1d1-1,62.209593376856354,66.8482914284234,60.377791241554604,73.74392148837832,50.854673217499844,60.782146705296256,68.23871391893202,59.70167708444618
Nr1d1-2,81.88617027141173,78.93762965247744,77.82507234425925,84.24052779829367,73.52172749577171,86.68543544823297,83.19410480138959,91.1491164003883
Nr1d1-3,56.34864436361433,43.57963889333246,46.89166021331561,56.34864436361433,43.57963889333246,64.24014370385,71.7522539201195,73.7257200610277
Nr1d2-4,73.46485200459824,70.24537171598547,67.25844704765714,72.82144316688989,71.09096803539309,69.09225117514609,73.70746262063761,77.0998118411177
Nr1d2-5,82.46493673429394,79.1311337515445,71.63631462653922,82.71216830955623,79.09366844623676,85.61430897041129,84.64183709769652,78.84441837718822
Nr1d2-6,79.91892915798701,75.66898824948325,67.34248688823774,68.9064997347054,71.7903919075228,81.90525366613883,79.30059585412458,77.17222805209326
Nr1h2-1,43.57963889333246,43.57963889333246,43.57963889333246,46.89166021331561,59.93750502488707,49.906505968925366,62.829165867373604,56.58649120055431
Nr1h2-2,76.45258335745334,75.81220500767549,77.49762425055464,80.73652827118082,77.88485026609138,82.04186817673325,81.00962798868879,78.54367298986098
Nr1h2-3,67.02784376160271,77.34959378978792,67.20169809072947,71.50471743344539,69.83323033778991,67.89742190913184,76.07653784276461,74.24888223420271
Nr1h3-4,88.51390068294818,87.80072765284689,85.23321111550972,89.81979774112814,88.77503390231543,90.26848578358535,90.93032210223143,90.3943934629194
Nr1h3-5,71.94049157999443,67.47976307743781,68.44755646833444,74.34000153660556,62.06109586191039,69.23260271181493,68.49292325479973,72.19420645907128
Nr1h3-6,83.95575531247056,76.06420907286252,70.59869614694692,74.67565765168719,82.07671183462747,84.24865713807174,80.53760377344929,85.55310725671208
Nr1h4-1,81.4429569199048,80.25161072490205,84.94766503384318,81.53216141971568,87.48822190574974,80.42358130356226,79.40508181099449,82.08597027741358
Nr1h4-2,98.64870764804927,98.76884551981892,95.52124880717474,98.28861165494996,97.85951770577195,98.71254605738329,98.68839926884625,98.44340029920431
Nr1h4-3,74.51018586907348,75.1174879003688,64.14027087136009,70.59869614694692,62.06109586191039,75.86982874267426,76.69092622050368,77.1876345373403
Nr1i2-4,75.84428601232888,79.36206107582059,68.5825666772571,77.59435513109817,76.16214332666456,75.62269731028022,75.64257979038746,81.29749025394636
Nr1i2-6,74.47814147903941,74.38096377765041,89.8451305400865,76.38858271337313,83.74059561369435,79.27875489883493,75.2531178251186,84.79074575583459
Nr1i2-7,85.2249219509674,85.51107679420468,73.05062030934332,83.7352949501321,79.27875489883493,85.15539745021572,83.59221939692935,86.68219086047145
Nr1i2-8,80.73940630280401,80.09071037568555,79.52886926458677,82.3130187987608,80.01675085303326,81.60010522431335,85.1721567884916,87.03382469474157
Nr1i3-1,76.74080574187452,59.82100568351759,69.57825630144343,70.36017705096486,73.47436928656688,82.0929049855186,78.13149210771466,76.62377707552038
Nr1i3-2,68.40181807882666,73.00960977630695,54.584823011003316,68.14332146755453,69.27206969005297,74.56585342633669,73.76206725528638,76.32980854268273
Nr1i3-4,43.57963889333246,43.57963889333246,52.28149440976294,43.57963889333246,63.26428353476937,70.78261628583505,65.43117287697665,75.9583877742064
Nr1i3-5,71.58403345567818,71.58403345567818,72.2060172771103,68.0217327580408,78.26625527140277,69.36954648257192,63.72061798035337,75.53577434778785
Nr2c1-1,76.88264609842658,76.7131454306433,68.98981429294516,76.59557778553551,71.55771513606808,78.09622819021753,78.08738041359014,75.92690825114549
Nr2c1-2,69.54087710654571,72.25302320556577,83.56683299666024,75.70183712899374,83.60306708157945,72.65990284348275,74.62100747675059,79.75911233448323
Nr2c1-3,67.20169809072947,65.50965341341268,55.551393920908055,65.81258410880547,62.763901630166345,59.057010867203665,66.20312453186638,71.85340460769419
Nr2c2-5,78.66171324752024,74.49418515501101,82.67234845156327,78.90284081162203,80.65830956031549,79.09366844623676,77.39933707546069,78.26195398845405
Nr2c2-6,67.42526247143866,71.35642352240468,61.66970184895148,68.5825666772571,68.16732332431363,73.63386556246631,73.11160595437033,84.62506314804088
Nr2e1-1,93.1003064035983,89.70966647976357,84.15368175328243,89.99704232662374,81.02887632972546,87.0855462074522,91.4194258525441,89.42070488070203
Nr2e1-2,52.84905993553184,64.19044426491251,43.57963889333246,46.89166021331561,43.57963889333246,55.83278597883454,61.41947619623068,68.8854766214924
Nr2e1-3,80.32897629081714,79.62613878871151,72.67081153643421,79.62269119183271,72.94755358835154,82.6765521892888,80.32282262962734,84.46256583162793
Nr2e3-4,73.18196779113785,70.34391678055275,73.53115384676217,76.80121918213827,79.10117978003709,75.41331181352368,74.24888223420271,74.13086083581669
Nr2e3-5,67.17310222019647,65.39149732736469,58.77314065200072,69.29170014478153,54.93046024010364,72.70341651777036,68.8854766214924,73.36882749157826
Nr2e3-6,86.00783150998626,93.99579459652725,90.74280600317088,91.15007421636123,90.95029287451023,81.76797696036455,84.39791288181388,82.12746186438108
Nr2e3-7,77.70373556776255,75.00084934451678,70.97543886258775,73.40742457009759,73.49335805997886,76.33571165637169,76.09498404277508,74.34821650812303
Nr2e3-8,69.52209457458086,70.14509646242433,70.85754543327782,79.70150194540257,48.67349679111055,50.854673217499844,62.209593376856354,78.02508564330948
Nr2f1-1,68.56029020653311,74.72981331015994,68.73606773829975,72.81081088717004,68.9691011452232,75.70183712899374,76.94701227470168,75.82505785829103
Nr2f1-4,88.08855718471537,82.44315076447111,67.79592658617543,77.46830381655472,83.71227207158586,85.56487532068218,84.51566256815497,86.8737538956491
Nr2f2-1,73.59672154023336,73.85197328076367,72.38037391181891,79.35846241023803,71.32904806083509,79.3548616403833,78.2231060746674,74.85178908271443
Nr2f2-2,62.630836897377584,69.35018525779564,81.6400177098938,77.1876345373403,81.81165877399404,64.57551005916599,61.15618031279529,78.62126546388312
Nr2f2-3,84.60671112985465,84.32294109070536,78.94148295773435,86.63112336047594,75.03022209274332,85.0224759223344,83.71404614822583,86.89987059193253
Nr2f2-4,52.84905993553184,72.01411492435035,70.94619103661623,68.73606773829975,72.8001593429351,66.99832440692222,72.05058075033757,75.20350422241343
Nr2f6-1,56.097922900693675,56.097922900693675,43.57963889333246,67.8469066769777,61.66970184895148,71.3015424291922,62.28225249510471,54.584823011003316
Nr2f6-2,77.28431547776454,76.09498404277508,72.24130712827262,77.65166725026316,78.27914105036172,73.63386556246631,75.32329192304714,72.74661011895017
Nr2f6-3,78.7378380023052,71.07665284701308,43.57963889333246,65.47055676628362,72.60505312926789,72.87431809387867,72.68169999511686,76.52164105134192
Nr2f6-4,77.92134862516562,84.43584208424407,78.8248201982291,84.7490007490259,80.45981658759528,86.27344479109703,83.28610784344531,87.57793362272899
Nr2f6-5,49.906505968925366,67.31461605211935,59.057010867203665,52.84905993553184,58.6246979355269,62.13588516538828,43.57963889333246,63.98681058520869
Nr3c1-1,79.4157901970937,80.17956703438347,79.08238422332764,80.79953690149507,79.89257910048332,79.84951857743583,81.4120730323007,77.89856266184343
Nr3c1-2,75.9709338445113,65.84927870136525,63.6657141645594,65.06302702854852,67.05720492561899,69.27206969005297,68.21501864210907,74.30702807391745
Nr3c1-3,69.52209457458086,69.29170014478153,59.453932952061784,69.13270960233604,65.5484671355674,74.8139377294806,77.90768722591808,78.03402376962923
Nr3c2-4,64.75801077481663,75.337229063081,53.35106268389222,57.432553146159414,71.00453895331965,62.13588516538828,69.17287953037442,68.8854766214924
Nr3c2-5,87.59552440528444,86.69407892016893,80.48385573979476,89.46057970368017,82.57486018336972,89.01510223857014,89.9898490499615,90.38550026302423
Nr3c2-6,81.22610947555692,82.7309406388845,79.54635184056762,83.03168238341297,77.34459709478023,85.31956367621162,86.39623421204632,81.3939857484702
Nr4a1-1,71.53127684039575,73.68914881144397,64.24014370385,69.35018525779564,62.829165867373604,71.91574222991098,70.40868235469388,75.7083855054831
Nr4a1-2,72.58296884945189,57.23490364285322,57.23490364285322,77.89856266184343,51.62760541609119,73.85197328076367,72.88483627809867,80.67868389856268
Nr4a1-3,81.50680582635722,79.49727504580572,83.58497689390383,82.70380660286266,83.21338638417942,82.53413765835471,81.82615084429322,77.22852922597902
Nr4a1-4,57.432553146159414,58.9171562375376,43.57963889333246,62.89361402804784,43.57963889333246,73.78918230458595,56.812767119365525,48.67349679111055
Nr4a2-6,68.51546924169541,66.53526413723525,75.46123235253161,76.07653784276461,69.9739505398792,73.92293094088032,74.64449012749701,77.03178898608547
Nr4a2-7,70.79768042992572,75.95210496568691,68.77916360112592,77.70373556776255,72.17051292464922,70.29485665461061,46.89166021331561,81.37065245070872
Nr4a3-1,61.33323240183286,67.50681262550596,54.584823011003316,74.5021908676061,68.51546924169541,62.13588516538828,68.44755646833444,67.02784376160271
Nr4a3-2,80.78527315647295,80.90967664600103,78.60094124858497,81.328951808096,76.26449212144679,83.8491242634866,83.19217330162299,79.29696107182247
Nr4a3-3,71.58403345567818,64.89088022958434,66.78710621754122,74.26555326370672,58.9171562375376,74.96393009264334,73.60602939433214,76.850205964666
Nr5a1-1,83.51024219774924,86.93727461457618,84.87484565624955,88.52254313386013,84.03031274724015,85.09778155768915,84.06390307797092,80.46884225058271
Nr5a1-2,69.65228292358401,72.42600446411312,85.47538258216089,85.27311498438004,81.65987746875935,83.45867380235923,80.24537935535372,73.83410064748337
Nr5a1-3,84.33736924367022,82.28173174464483,72.94755358835154,83.49739080941751,81.28959972657647,80.3104968595387,85.34536460590894,90.32225575321304
Nr5a1-4,43.57963889333246,51.62760541609119,43.57963889333246,55.551393920908055,67.69253572343365,43.57963889333246,43.57963889333246,69.09225117514609
Nr5a2-1,68.40181807882666,74.41353237430526,70.16193183110781,71.80304917916246,67.23014583886929,72.60505312926789,76.95234553272412,70.45677998239012
Nr5a2-2,96.29604439390368,98.64308077034441,97.94239054235051,96.18632296867347,96.79688233497086,99.89614437287544,97.80321505726586,94.44409095159884
Nr5a2-3,77.0998118411177,76.30613845310936,61.829898214077694,75.70183712899374,55.25152489630999,77.04230359434638,80.01998499803742,86.86642025109612
Nr6a1-1,84.64640375571658,84.11228215871567,77.7786886954671,85.37375293410535,79.7151058617226,83.98297280901618,86.72530514419071,90.75058586406364
Nr6a1-2,63.774950809260865,54.93046024010364,53.8015184390951,57.98031191902808,50.854673217499844,58.77314065200072,48.67349679111055,68.04626428617905
Nr6a1-3,91.04066457773695,95.45199740346114,97.30019751395369,95.42875434174317,94.62361487353374,92.90040188584632,94.8688832830112,94.67170564953025
Nr6a1-4,79.62269119183271,81.73868279685556,68.98981429294516,82.02787532840655,76.92027568774003,79.9810628477528,84.39949800796515,90.3882810215754
Pgr-1,79.30785898722704,82.26378175122872,81.08354296823362,79.7151058617226,82.4322287715037,78.8287448359897,78.15342946633382,82.96188005243151
Pgr-2,55.25152489630999,62.562990096922825,67.69253572343365,67.61370372487976,66.87862904160663,70.29485665461061,68.47028592048746,78.45258670677237
Pgr-3,43.57963889333246,67.97234212230747,43.57963889333246,73.21186788528247,64.5288847895223,43.57963889333246,68.49292325479973,77.91679821151834
Pgr-4,79.96477248867778,77.55584632447837,80.55837997719472,81.99040490025853,75.2106169928377,82.97790504006244,83.54498898265015,79.04083075173591
Pgr-5,89.18905083444973,89.69954128681778,95.74944719141189,90.08378585758787,91.09953918999064,91.19678358754186,89.94224803971919,91.64889704
Pgr-6,73.18196779113785,69.44633484278472,69.93909548739855,74.32353758501779,69.13270960233604,77.04230359434638,74.5420593516445,69.81539288108645
Ppara-1,70.66065982342958,70.90203887740388,76.90417719501994,74.4216468398895,74.59743228088436,69.57825630144343,69.95654969549662,75.13910768116577
Ppara-2,84.36452922789658,83.42343169664846,73.78918230458595,78.40232762325763,78.93762965247744,77.55101561762369,82.18917965076999,81.83338411902778
Ppara-3,86.15988327642702,84.90407894748039,76.10112030684087,83.04158961429174,78.0918058986105,83.9249896012893,85.0850600026772,82.61531470461404
Ppard-1,60.87830881906551,46.89166021331561,43.57963889333246,65.77563784089367,43.57963889333246,65.700975754894,53.8015184390951,68.09500472564326
Ppard-2,87.98933481329506,94.44136893330482,83.04356914142016,93.18997082291088,88.50209398151456,89.05019275401273,88.36086472303674,93.61929612778982
Ppard-3,63.55414268187415,59.057010867203665,48.67349679111055,54.93046024010364,63.55414268187415,46.89166021331561,62.6977995332629,73.55934320534413
Ppard-4,43.57963889333246,58.31332883127318,64.38648906016903,67.61370372487976,43.57963889333246,71.51801234742773,68.71439491666929,81.2420434096385
Ppard-5,58.31332883127318,54.584823011003316,61.24548561642808,69.67063951701978,59.93750502488707,75.14629702191682,66.16876400666133,74.07955552239765
Ppard-6,73.36882749157826,65.02050938103349,66.96864508275054,71.24613549520699,67.53373014457436,71.68812911708036,69.57825630144343,79.18320488127989
Ppard-7,85.06947484422851,93.58197890866931,90.62307280356457,93.89055679467755,87.9850187828666,87.34422534742885,85.60523342992471,83.17088652213842
Pparg-1,84.04377112550505,85.06237732395464,74.34000153660556,87.22224797461894,75.31631123017964,85.33722892125701,82.3640760898013,91.16250916127699
Pparg-2,55.25152489630999,61.15618031279529,48.67349679111055,61.90813835076623,57.23490364285322,57.432553146159414,46.89166021331561,61.41947619623068
Pparg-3,87.56400804232337,86.52096918643099,85.39529230779854,86.84015329554579,86.52874750343652,89.35628920307522,88.94424331507385,86.23388730259549
Pparg-4,71.13370171271063,65.50965341341268,58.77314065200072,57.23490364285322,59.82100568351759,58.9171562375376,61.06525778493228,72.89533569136105
Pparg-5,79.78603788637602,75.83788342411117,61.24548561642808,75.5960849818654,75.05945182463886,71.06230204143277,76.49870899215834,83.25176844030678
Ppargc1a-1,75.79932475347844,74.41353237430526,65.22978644863942,78.74977195235634,70.58310008438988,73.41703460712469,71.85340460769419,77.73195072500242
Ppargc1a-2,86.97855536176621,84.24703214000793,76.6462426590344,84.43899217273746,75.72798812025437,86.0825484892661,87.05619233137965,89.96640321901627
Ppargc1a-3,78.64556608059648,77.98920214757908,60.97265589896514,76.14390090132855,70.34391678055275,69.85101198128281,76.78480220872119,74.85933075253149
