name,sp_Mn__vs__mln_Mn,sp_Mn__vs__si_Mp,sp_Mn__vs__mln_Mp,sp_Mn__vs__si_Mn,sp_Mn__vs__sp_Mp,sp_Mn__vs__sp_Ame,sp_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__mln_Mp,mln_Mn__vs__si_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Ame,mln_Mn__vs__pre_inj,si_Mp__vs__mln_Mp,si_Mp__vs__si_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__sp_Ame,si_Mp__vs__pre_inj,mln_Mp__vs__si_Mn,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Ame,mln_Mp__vs__pre_inj,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Ame,si_Mn__vs__pre_inj,sp_Mp__vs__sp_Ame,sp_Mp__vs__pre_inj,sp_Ame__vs__pre_inj
Abcb1a1,0.20690594818128716,21.56514087099258,15.9196805149748,0.6863505956383307,15.220359816017321,2.043080090014101,1.765539461593363,21.35823492281129,15.712774566793513,0.4794446474570435,15.013453867836034,1.8361741418328137,1.558633513412076,-5.645460356017779,-20.87879027535425,-6.3447810549752575,-19.522060780978478,-19.799601409399216,-15.23332991933647,-0.6993206989574787,-13.8766004249607,-14.154141053381437,14.53400922037899,1.3567294943757702,1.0791888659550324,-13.17727972600322,-13.454820354423958,-0.2775406284207378
Abcb1a2,0.12954856483281674,11.475326111349503,10.576603923359642,3.270032318439334,11.436586582132449,3.571130128942528,1.8889858569233269,11.345777546516686,10.447055358526825,3.1404837536065173,11.307038017299632,3.441581564109711,1.7594372920905101,-0.8987221879898613,-8.205293792910169,-0.038739529217053814,-7.904195982406975,-9.586340254426176,-7.3065716049203075,0.8599826587728074,-7.005473794417114,-8.687618066436315,8.166554263693115,0.30109781050319384,-1.3810464615160072,-7.865456453189921,-9.547600725209122,-1.682144272019201
Abcb1b4,-0.5246447441851103,7.134539425873513,4.068720194882459,-2.108002908425746,0.7332662609950233,-1.0075408254787703,1.548297147974921,7.659184170058623,4.59336493906757,-1.5833581642406358,1.2579110051801337,-0.48289608129366,2.0729418921600313,-3.0658192309910532,-9.242542334299259,-6.401273164878489,-8.142080251352283,-5.586242277898592,-6.1767231033082055,-3.335453933887436,-5.07626102036123,-2.5204230469075384,2.8412691694207695,1.1004620829469758,3.656300056400667,-1.7408070864737937,0.8150308869798977,2.5558379734536913
Abcb1b5,3.66300739425688,14.22110089763855,8.68662020315547,7.488594510650444,1.5206968222065171,1.859506401567046,0.5124999251881377,10.55809350338167,5.023612808898591,3.8255871163935637,-2.142310572050363,-1.803500992689834,-3.1505074690687422,-5.534480694483079,-6.732506386988106,-12.700404075432033,-12.361594496071504,-13.708600972450412,-1.198025692505027,-7.1659233809489535,-6.827113801588425,-8.174120277967333,-5.9678976884439265,-5.629088109083398,-6.976094585462306,0.3388095793605288,-1.0081968970183794,-1.3470064763789082
Ahr1,5.735997813375249,12.199715599660266,3.2074856782660675,7.605967857643236,4.124758146443639,1.4972737072032771,2.975485801685096,6.463717786285017,-2.5285121351091817,1.869970044267987,-1.6112396669316098,-4.238724106171972,-2.760512011690153,-8.992229921394198,-4.59374774201703,-8.074957453216626,-10.702441892456989,-9.22422979797517,4.398482179377169,0.9172724681775719,-1.7102119710627903,-0.23199987658097143,-3.4812097111995968,-6.108694150439959,-4.63048205595814,-2.6274844392403622,-1.1492723447585433,1.478212094481819
Ahr2,5.833951792342432,12.674875042265597,6.96391744994051,11.308774066660305,0.13742589485812573,-0.08731850413808218,1.9303992407970298,6.840923249923165,1.1299656575980777,5.474822274317873,-5.696525897484307,-5.921270296480515,-3.9035525515454026,-5.710957592325087,-1.366100975605292,-12.537449147407472,-12.76219354640368,-10.744475801468568,4.344856616719795,-6.826491555082384,-7.051235954078592,-5.03351820914348,-11.17134817180218,-11.396092570798388,-9.378374825863276,-0.2247443989962079,1.7929733459389041,2.017717744935112
Ahr3,-0.9877802753126446,3.5810274151348267,-4.555549799925203,3.0449124754117918,-6.426199764844199,-5.1919933789422,-14.581306999912329,4.568807690447471,-3.567769524612558,4.032692750724436,-5.4384194895315545,-4.204213103629556,-13.593526724599684,-8.13657721506003,-0.5361149397230349,-10.007227179979026,-8.773020794077027,-18.162334415047155,7.600462275336994,-1.8706499649189965,-0.6364435790169978,-10.025757199987126,-9.47111224025599,-8.236905854353992,-17.62621947532412,1.2342063859019987,-8.15510723506813,-9.389313620970128
Ar1,3.889612844808312,1.2826413211784171,2.7794947789981705,7.114614864362466,0.6681731528392447,2.643938690394549,-3.77449616487543,-2.6069715236298947,-1.1101180658101413,3.2250020195541538,-3.221439691969067,-1.2456741544137628,-7.664109009683742,1.4968534578197534,5.8319735431840485,-0.6144681683391724,1.3612973692161319,-5.057137486053847,4.335120085364295,-2.111321626158926,-0.13555608860362156,-6.5539909438736,-6.446441711523221,-4.470676173967917,-10.889111029237895,1.9757655375553043,-4.4426693177146745,-6.418434855269979
Ar2,-2.6962594600829846,6.269837947793576,-8.427937849603722,8.680865774662756,0.8883056192713639,-7.127734011219474,-13.074859078775276,8.96609740787656,-5.731678389520738,11.37712523474574,3.5845650793543484,-4.431474551136489,-10.378599618692292,-14.697775797397298,2.41102782686918,-5.381532328522212,-13.39757195901305,-19.344697026568852,17.10880362426648,9.316243468875086,1.300203838384249,-4.646921229171554,-7.792560155391392,-15.80859978588223,-21.755724853438032,-8.016039630490837,-13.96316469804664,-5.9471250675558025
Ar3,-4.467841002051628,-2.202733066126825,-6.280499662019508,-1.1863790490957058,-4.0601583333345275,-6.4015729379256925,-7.914626121509727,2.265107935924803,-1.8126586599678802,3.2814619529559224,0.4076826687171007,-1.9337319358740643,-3.4467851194580987,-4.077766595892683,1.0163540170311194,-1.8574252672077023,-4.198839871798867,-5.711893055382902,5.094120612923803,2.220341328684981,-0.12107327590618411,-1.6341264594902185,-2.8737792842388217,-5.215193888829987,-6.728247072414021,-2.341414604591165,-3.8544677881751994,-1.5130531835840344
