name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Ncoa1-5,8615,12516,16487,13112,19000,3830,24079,20987,1414,4828,1775,467,1778,2831,102,165
Ncoa2-1,650,2844,372,1588,417,523,698,271,2505,93,38,1712,573,73,186,256
Ncoa2-2,4884,1230,2294,3230,208,1228,165,724,13094,576,1103,846,271,3133,39,82
Ncoa2-3,4654,1323,1222,1434,9020,4314,199,10,13766,3013,6096,1787,2085,1769,535,303
Ncoa2-4,7483,2844,2340,7873,4128,6777,24,1617,914,2069,4503,6962,2363,5233,400,3333
Ncoa2-5,37913,122873,94282,103435,108766,55325,1642530,405179,25991,28043,29030,13457,36388,37033,8303,4411
Ncoa2-6,3463,1268,958,5969,4281,607,111,310,562,128,808,313,251,128,17,0
Ncoa3-1,7718,5706,3655,3228,7736,2498,2250,1729,784,25957,18861,20938,6061,11088,4083,7698
Ncoa3-2,1295,3883,2810,3718,5116,1859,896,1651,1600,599,702,2641,1255,1337,0,30
Ncoa3-3,14507,3782,4936,5996,14936,5286,4621,4266,5390,3687,3415,1984,1669,1432,87,461
Ncoa3-4,27115,6232,103,3889,66,5115,0,0,24432,6586,5347,0,2,19,2,107
Ncoa3-5,45959,134620,53203,175795,119486,232919,16435,17418,30960,43891,21473,31683,19074,16774,2621,9942
Ncoa4-1,24377,8526,9808,11453,10795,7490,3046,6140,12566,3650,3131,3443,3689,8543,1162,757
Ncoa4-2,64463,58615,42706,77485,65646,57768,16904,25707,64672,17627,20785,24843,25318,23762,3629,3554
Ncoa4-3,73058,36234,26866,63366,40350,35378,12155,33284,30984,6456,15609,11257,22985,10871,1268,6758
Ncoa4-4,19110,24383,26607,19249,38279,18265,7717,7563,13319,8251,11895,3609,4012,1053,44,2339
Ncoa4-5,7453,5674,619,4096,38,1193,540,12,9685,2994,2277,1241,872,955,1077,160
Ncoa5-1,4653,3698,1901,10591,3524,2208,4070,4932,2198,10147,6455,2877,2737,2106,506,960
Ncoa5-2,47741,10018,3303,4927,5544,5193,1115,3550,48240,20032,33832,8715,16610,5399,3179,2719
Ncoa5-3,15788,5760,3162,5352,839,7318,57,23,35881,23055,14521,10043,18872,6527,7588,7423
Ncoa6-1,8046,4,2,0,1,8,2,103,9828,236,643,21,634,189,6,316
Ncoa6-2,30487,52295,50431,66433,30718,21098,22865,16355,20932,23611,26399,11349,21044,18780,30001,53286
