,si_Mn,mln_Mn,mln_Mp,sp_Mp,sp_Mn,pre_inj,si_Mp,sp_Ame
Pgr-3,64.5288847895223,67.97234212230747,73.21186788528247,43.57963889333246,43.57963889333246,77.91679821151834,43.57963889333246,68.49292325479973
Pgr-4,75.2106169928377,77.55584632447837,81.99040490025853,82.97790504006244,79.96477248867778,79.04083075173591,80.55837997719472,83.54498898265015
Pgr-5,91.09953918999064,89.69954128681778,90.08378585758787,91.19678358754186,89.18905083444973,91.64889704,95.74944719141189,89.94224803971919
Pgr-6,69.13270960233604,69.44633484278472,74.32353758501779,77.04230359434638,73.18196779113785,69.81539288108645,69.93909548739855,74.5420593516445
Ppara-1,74.59743228088436,70.90203887740388,74.4216468398895,69.57825630144343,70.66065982342958,75.13910768116577,76.90417719501994,69.95654969549662
Ppara-2,78.93762965247744,83.42343169664846,78.40232762325763,77.55101561762369,84.36452922789658,81.83338411902778,73.78918230458595,82.18917965076999
Ppara-3,78.0918058986105,84.90407894748039,83.04158961429174,83.9249896012893,86.15988327642702,82.61531470461404,76.10112030684087,85.0850600026772
Ppard-1,43.57963889333246,46.89166021331561,65.77563784089367,65.700975754894,60.87830881906551,68.09500472564326,43.57963889333246,53.8015184390951
Ppard-2,88.50209398151456,94.44136893330482,93.18997082291088,89.05019275401273,87.98933481329506,93.61929612778982,83.04356914142016,88.36086472303674
Ppard-3,63.55414268187415,59.057010867203665,54.93046024010364,46.89166021331561,63.55414268187415,73.55934320534413,48.67349679111055,62.6977995332629
Ppard-4,43.57963889333246,58.31332883127318,67.61370372487976,71.51801234742773,43.57963889333246,81.2420434096385,64.38648906016903,68.71439491666929
Ppard-5,59.93750502488707,54.584823011003316,69.67063951701978,75.14629702191682,58.31332883127318,74.07955552239765,61.24548561642808,66.16876400666133
Ppard-6,67.53373014457436,65.02050938103349,71.24613549520699,71.68812911708036,73.36882749157826,79.18320488127989,66.96864508275054,69.57825630144343
Ppard-7,87.9850187828666,93.58197890866931,93.89055679467755,87.34422534742885,85.06947484422851,83.17088652213842,90.62307280356457,85.60523342992471
Pparg-1,75.31631123017964,85.06237732395464,87.22224797461894,85.33722892125701,84.04377112550505,91.16250916127699,74.34000153660556,82.3640760898013
Pparg-2,57.23490364285322,61.15618031279529,61.90813835076623,57.432553146159414,55.25152489630999,61.41947619623068,48.67349679111055,46.89166021331561
Pparg-3,86.52874750343652,86.52096918643099,86.84015329554579,89.35628920307522,87.56400804232337,86.23388730259549,85.39529230779854,88.94424331507385
Pparg-4,59.82100568351759,65.50965341341268,57.23490364285322,58.9171562375376,71.13370171271063,72.89533569136105,58.77314065200072,61.06525778493228
Pparg-5,75.05945182463886,75.83788342411117,75.5960849818654,71.06230204143277,79.78603788637602,83.25176844030678,61.24548561642808,76.49870899215834
Ppargc1a-1,70.58310008438988,74.41353237430526,78.74977195235634,73.41703460712469,75.79932475347844,77.73195072500242,65.22978644863942,71.85340460769419
Ppargc1a-2,75.72798812025437,84.24703214000793,84.43899217273746,86.0825484892661,86.97855536176621,89.96640321901627,76.6462426590344,87.05619233137965
