name,si_Mn__vs__mln_Mn,si_Mn__vs__mln_Mp,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Mn,si_Mn__vs__pre_inj,si_Mn__vs__si_Mp,si_Mn__vs__sp_Ame,mln_Mn__vs__mln_Mp,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Mn,mln_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__sp_Ame,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Mn,mln_Mp__vs__pre_inj,mln_Mp__vs__si_Mp,mln_Mp__vs__sp_Ame,sp_Mp__vs__sp_Mn,sp_Mp__vs__pre_inj,sp_Mp__vs__si_Mp,sp_Mp__vs__sp_Ame,sp_Mn__vs__pre_inj,sp_Mn__vs__si_Mp,sp_Mn__vs__sp_Ame,pre_inj__vs__si_Mp,pre_inj__vs__sp_Ame,si_Mp__vs__sp_Ame
Abcb1a1,-0.4794446474570435,15.23332991933647,14.53400922037899,-0.6863505956383307,1.0791888659550324,20.87879027535425,1.3567294943757702,15.712774566793513,15.013453867836034,-0.20690594818128716,1.558633513412076,21.35823492281129,1.8361741418328137,-0.6993206989574787,-15.9196805149748,-14.154141053381437,5.645460356017779,-13.8766004249607,-15.220359816017321,-13.454820354423958,6.3447810549752575,-13.17727972600322,1.765539461593363,21.56514087099258,2.043080090014101,19.799601409399216,0.2775406284207378,-19.522060780978478
Abcb1a2,-3.1404837536065173,7.3065716049203075,8.166554263693115,-3.270032318439334,-1.3810464615160072,8.205293792910169,0.30109781050319384,10.447055358526825,11.307038017299632,-0.12954856483281674,1.7594372920905101,11.345777546516686,3.441581564109711,0.8599826587728074,-10.576603923359642,-8.687618066436315,0.8987221879898613,-7.005473794417114,-11.436586582132449,-9.547600725209122,0.038739529217053814,-7.865456453189921,1.8889858569233269,11.475326111349503,3.571130128942528,9.586340254426176,1.682144272019201,-7.904195982406975
Abcb1b4,1.5833581642406358,6.1767231033082055,2.8412691694207695,2.108002908425746,3.656300056400667,9.242542334299259,1.1004620829469758,4.59336493906757,1.2579110051801337,0.5246447441851103,2.0729418921600313,7.659184170058623,-0.48289608129366,-3.335453933887436,-4.068720194882459,-2.5204230469075384,3.0658192309910532,-5.07626102036123,-0.7332662609950233,0.8150308869798977,6.401273164878489,-1.7408070864737937,1.548297147974921,7.134539425873513,-1.0075408254787703,5.586242277898592,-2.5558379734536913,-8.142080251352283
Abcb1b5,-3.8255871163935637,1.198025692505027,-5.9678976884439265,-7.488594510650444,-6.976094585462306,6.732506386988106,-5.629088109083398,5.023612808898591,-2.142310572050363,-3.66300739425688,-3.1505074690687422,10.55809350338167,-1.803500992689834,-7.1659233809489535,-8.68662020315547,-8.174120277967333,5.534480694483079,-6.827113801588425,-1.5206968222065171,-1.0081968970183794,12.700404075432033,0.3388095793605288,0.5124999251881377,14.22110089763855,1.859506401567046,13.708600972450412,1.3470064763789082,-12.361594496071504
Ahr1,-1.869970044267987,-4.398482179377169,-3.4812097111995968,-7.605967857643236,-4.63048205595814,4.59374774201703,-6.108694150439959,-2.5285121351091817,-1.6112396669316098,-5.735997813375249,-2.760512011690153,6.463717786285017,-4.238724106171972,0.9172724681775719,-3.2074856782660675,-0.23199987658097143,8.992229921394198,-1.7102119710627903,-4.124758146443639,-1.1492723447585433,8.074957453216626,-2.6274844392403622,2.975485801685096,12.199715599660266,1.4972737072032771,9.22422979797517,-1.478212094481819,-10.702441892456989
Ahr2,-5.474822274317873,-4.344856616719795,-11.17134817180218,-11.308774066660305,-9.378374825863276,1.366100975605292,-11.396092570798388,1.1299656575980777,-5.696525897484307,-5.833951792342432,-3.9035525515454026,6.840923249923165,-5.921270296480515,-6.826491555082384,-6.96391744994051,-5.03351820914348,5.710957592325087,-7.051235954078592,-0.13742589485812573,1.7929733459389041,12.537449147407472,-0.2247443989962079,1.9303992407970298,12.674875042265597,-0.08731850413808218,10.744475801468568,-2.017717744935112,-12.76219354640368
Ahr3,-4.032692750724436,-7.600462275336994,-9.47111224025599,-3.0449124754117918,-17.62621947532412,0.5361149397230349,-8.236905854353992,-3.567769524612558,-5.4384194895315545,0.9877802753126446,-13.593526724599684,4.568807690447471,-4.204213103629556,-1.8706499649189965,4.555549799925203,-10.025757199987126,8.13657721506003,-0.6364435790169978,6.426199764844199,-8.15510723506813,10.007227179979026,1.2342063859019987,-14.581306999912329,3.5810274151348267,-5.1919933789422,18.162334415047155,9.389313620970128,-8.773020794077027
Ar1,-3.2250020195541538,-4.335120085364295,-6.446441711523221,-7.114614864362466,-10.889111029237895,-5.8319735431840485,-4.470676173967917,-1.1101180658101413,-3.221439691969067,-3.889612844808312,-7.664109009683742,-2.6069715236298947,-1.2456741544137628,-2.111321626158926,-2.7794947789981705,-6.5539909438736,-1.4968534578197534,-0.13555608860362156,-0.6681731528392447,-4.4426693177146745,0.6144681683391724,1.9757655375553043,-3.77449616487543,1.2826413211784171,2.643938690394549,5.057137486053847,6.418434855269979,1.3612973692161319
Ar2,-11.37712523474574,-17.10880362426648,-7.792560155391392,-8.680865774662756,-21.755724853438032,-2.41102782686918,-15.80859978588223,-5.731678389520738,3.5845650793543484,2.6962594600829846,-10.378599618692292,8.96609740787656,-4.431474551136489,9.316243468875086,8.427937849603722,-4.646921229171554,14.697775797397298,1.300203838384249,-0.8883056192713639,-13.96316469804664,5.381532328522212,-8.016039630490837,-13.074859078775276,6.269837947793576,-7.127734011219474,19.344697026568852,5.9471250675558025,-13.39757195901305
Ar3,-3.2814619529559224,-5.094120612923803,-2.8737792842388217,1.1863790490957058,-6.728247072414021,-1.0163540170311194,-5.215193888829987,-1.8126586599678802,0.4076826687171007,4.467841002051628,-3.4467851194580987,2.265107935924803,-1.9337319358740643,2.220341328684981,6.280499662019508,-1.6341264594902185,4.077766595892683,-0.12107327590618411,4.0601583333345275,-3.8544677881751994,1.8574252672077023,-2.341414604591165,-7.914626121509727,-2.202733066126825,-6.4015729379256925,5.711893055382902,1.5130531835840344,-4.198839871798867
Blimp-1,0.10669655468176131,-0.6071080809678335,-2.0923845570722364,-1.250409004714669,1.4246371233228246,2.9588293118642497,-2.797787622521966,-0.7138046356495948,-2.1990811117539977,-1.3571055593964303,1.3179405686410632,2.8521327571824884,-2.9044841772037273,-1.4852764761044028,-0.6433009237468355,2.031745204290658,3.565937392832083,-2.1906795415541325,0.8419755523575674,3.517021680395061,5.051213868936486,-0.7054030654497296,2.6750461280374935,4.209238316578919,-1.547378617807297,1.5341921885414251,-4.2224247458447906,-5.756616934386216
Cd19-1,-2.5500869412553016,-3.3943593290868392,-2.6467823714353216,-3.649699509776184,-4.59484972530295,-1.2262966057658389,-2.8424651458618087,-0.8442723878315377,-0.09669543018002003,-1.0996125685208824,-2.0447627840476486,1.3237903354894627,-0.2923782046065071,0.7475769576515177,-0.2553401806893447,-1.2004903962161109,2.1680627233210004,0.5518941832250306,-1.0029171383408624,-1.9480673538676285,1.4204857656694827,-0.19568277442648707,-0.9451502155267661,2.423402904010345,0.8072343639143753,3.3685531195371112,1.7523845794411415,-1.6161685400959698
Cd19-2,-0.2634670184744863,-3.9679667093458164,-9.133008617416621,-5.664212449085667,-5.9176413159221255,-0.2392551815384394,-7.1642674416206376,-3.70449969087133,-8.869541598942135,-5.400745430611181,-5.654174297447639,0.024211836936046893,-6.900800423146151,-5.165041908070805,-1.696245739739851,-1.949674606576309,3.728711527807377,-3.196300732274821,3.468796168330954,3.2153673014944957,8.893753435878182,1.9687411757959836,-0.25342886683645816,5.424957267547228,-1.5000549925349702,5.678386134383686,-1.246626125698512,-6.925012260082198
Cd19-3,-10.780448680112443,-11.59989867318933,-10.210256354179563,-9.551071946357368,-4.730439767810296,0.4348856768169611,-10.710016916665452,-0.819449993076887,0.5701923259328794,1.2293767337550747,6.050008912302147,11.215334356929404,0.0704317634469902,1.3896423190097664,2.0488267268319618,6.869458905379034,12.03478435000629,0.8898817565238772,0.6591844078221953,5.479816586369267,10.645142030996524,-0.4997605624858892,4.820632178547072,9.985957623174329,-1.1589449703080845,5.165325444627257,-5.979577148855157,-11.144902593482414
Cd8a-1,-1.5562451926087562,-1.0621289730900685,-5.078450753683612,-2.770575437930617,0.982936271171269,4.29846267705706,-3.9385006285476436,0.49411621951868767,-3.5222055610748555,-1.214330245321861,2.539181463780025,5.854707869665816,-2.3822554359388874,-4.016321780593543,-1.7084464648405486,2.0450652442613375,5.3605916501471285,-2.876371655457575,2.3078753157529945,6.061387024854881,9.376913430740672,1.139950125135968,3.753511709101886,7.069038114987677,-1.1679251906170265,3.315526405885791,-4.921436899718913,-8.236963305604704
Cd8a-2,-14.709881693349146,-14.434820639699055,-13.649549087273556,-15.104761885601533,-19.668778824157883,-4.020132478499747,-13.700872489624857,0.2750610536500915,1.0603326060755904,-0.394880192252387,-4.958897130808737,10.6897492148494,1.0090092037242897,0.785271552425499,-0.6699412459024785,-5.233958184458828,10.414688161199308,0.7339481500741982,-1.4552127983279775,-6.019229736884327,9.62941660877381,-0.05132340235130073,-4.56401693855635,11.084629407101787,1.4038893959766767,15.648646345658136,5.967906334533026,-9.68074001112511
Creb-2,0.338959019760523,-1.430087404460025,-5.080536336695118,-3.0998723505575754,-9.73077271978866,2.469445740199191,-4.103768524653162,-1.769046424220548,-5.419495356455641,-3.4388313703180984,-10.069731739549184,2.130486720438668,-4.442727544413685,-3.6504489322350935,-1.6697849460975505,-8.300685315328636,3.899533144659216,-2.6736811201931374,1.980663986137543,-4.650236383093542,7.54998207689431,0.9767678120419561,-6.630900369231085,5.5693180907567665,-1.003896174095587,12.200218459987852,5.627004195135498,-6.5732142648523535
Creb-3,-3.5907984182869797,-5.377489022299272,-3.8791589600135694,-3.6288019964920153,-7.594983280435557,0.6452747180935177,-4.731940988479735,-1.7866906040122927,-0.28836054172658976,-0.03800357820503564,-4.004184862148577,4.236073136380497,-1.1411425701927556,1.498330062285703,1.748687025807257,-2.217494258136284,6.02276374039279,0.6455480338195372,0.2503569635215541,-3.715824320421987,4.524433678107087,-0.8527820284661658,-3.9661812839435413,4.274076714585533,-1.10313899198772,8.240257998529074,2.8630422919558214,-5.377215706573253
Dmrta1-1,-4.419124911718924,-4.949317188934501,-6.294117757359089,-6.718286965242029,-12.619644706024474,1.6070379753849977,-9.04652196189457,-0.5301922772155763,-1.8749928456401648,-2.299162053523105,-8.20051979430555,6.026162887103922,-4.627397050175645,-1.3448005684245885,-1.7689697763075287,-7.670327517089973,6.556355164319498,-4.097204772960069,-0.4241692078829402,-6.3255269486653845,7.901155732744087,-2.7524042045354804,-5.901357740782444,8.325324940627027,-2.32823499665254,14.226682681409471,3.573122744129904,-10.653559937279567
Dmrta1-2,3.180926060431929,3.1489042232370963,6.446687166226397,-0.13586048598116918,-2.4836259441412665,9.771780214005858,0.45813173912419813,-0.03202183719483287,3.2657611057944678,-3.3167865464130983,-5.664552004573196,6.590854153573929,-2.722794321307731,3.2977829429893006,-3.2847647092182655,-5.632530167378363,6.622875990768762,-2.690772484112898,-6.582547652207566,-8.930313110367663,3.325093047779461,-5.988555427102199,-2.3477654581600973,9.907640699987027,0.5939922251053673,12.255406158147125,2.9417576832654646,-9.31364847488166
Dmrta1-3,-2.964229329851534,-4.357894948483761,-11.071368829996857,-10.406902431344122,-7.30394316512664,12.77205711567754,-9.392442551884713,-1.3936656186322267,-8.107139500145323,-7.442673101492588,-4.339713835275106,15.736286445529075,-6.428213222033179,-6.713473881513096,-6.049007482860361,-2.946048216642879,17.1299520641613,-5.034547603400952,0.6644663986527348,3.767425664870217,23.843425945674397,1.6789262781121437,3.102959266217482,23.178959547021663,1.0144598794594089,20.07600028080418,-2.0884993867580732,-22.164499667562254
